Heart Rate (bpm),Acceleration_X (m/s^2),Acceleration_Y (m/s^2),Acceleration_Z (m/s^2),Water Pressure (bar),Label
136,0.010549364,0.007740489,-0.005455323,2.943881972,1
79,0.027988457,0.024405494,-0.005007935,1.54177725,0
80,0.018180249,0.041702,-0.005368184,1.195907663,0
88,0.016775489,0.02172003,-0.016223602,1.073737076,0
160,-0.004861247,0.005341106,-0.003249909,3.615971312,1
126,0.003726923,-0.001098146,-0.001941392,3.422370799,1
133,-0.005080534,-0.003912902,0.003021833,3.315659237,1
95,0.002470709,0.040264332,-0.005806155,1.49644974,0
55,-0.007218967,0.001127572,-0.002867375,2.962935621,1
106,0.009914912,0.029493608,-0.005282056,1.096739821,0
108,0.02400637,0.030522362,-0.012964548,1.28884217,0
105,0.025133212,0.015939079,-0.009252794,1.251889553,0
49,-0.004308382,0.003766201,-0.000727057,3.024500063,1
57,-0.009420315,0.008607179,0.00565778,2.485621732,1
131,0.004016005,-0.006254468,-0.002675686,3.619918907,1
107,0.013728142,0.023461428,-0.013461107,1.476566299,0
45,0.00580976,-0.000793583,-0.00254451,2.911857074,1
47,-0.002186373,-0.005115871,-0.014383781,2.968863585,1
84,0.017664445,0.039641989,-0.007338315,1.57466738,0
96,0.012387123,0.032122764,-0.009106635,1.171581461,0
91,0.022329262,-0.000788061,-0.006789884,1.448319296,0
91,0.041371684,0.044906081,-0.008749421,1.26878689,0
45,0.004413386,-0.000151841,0.003840059,2.882831549,1
47,0.003432995,0.004303261,0.007286175,3.094423535,1
108,0.019979689,0.020806163,-0.008244832,1.283278899,0
47,0.014361859,-0.00301515,0.000914282,2.424987911,1
45,-0.007572255,0.000682569,-0.003459898,2.929280142,1
136,0.00013719,0.001182669,-0.005023214,3.070276,1
44,7.86392E-05,0.008819851,-0.001254107,2.279516225,1
80,0.024130256,0.011437445,-0.010913891,0.886651554,0
100,0.025503559,0.027375339,-0.004514795,1.399684631,0
51,0.003313386,-0.002710659,-0.000443158,2.932708906,1
45,-0.006826796,0.00510194,0.000218944,3.946953088,1
130,0.005839655,0.000143144,0.000308448,3.099930814,1
145,0.01188313,0.003102563,0.009932117,2.491343247,1
135,-0.002881269,-0.000392771,0.001743708,3.391033577,1
140,-0.00794314,0.004452802,0.00267892,3.4001248,1
112,0.036836169,0.042432545,-0.007936225,1.032301883,0
46,0.009045302,-0.005261878,-0.002615857,2.729597788,1
48,0.008773885,0.001506613,-0.004231753,2.962885975,1
49,0.001893214,4.44459E-05,0.007285093,2.489493956,1
158,0.001673637,-0.007253005,0.005492079,3.695046183,1
91,0.010338742,0.023053424,-0.010521011,1.199998626,0
92,0.024403392,0.04626336,-0.013945206,1.266887577,0
54,0.002043411,0.001887132,-0.002729021,3.206167348,1
46,-0.001388459,0.002802179,-0.002942346,3.694250047,1
145,-0.00303671,0.002247541,0.000610545,3.323615971,1
89,0.021767925,0.051815933,-0.006324458,1.171082392,0
50,0.00579044,-0.008883718,0.006735834,3.34579257,1
93,0.021802035,0.04273801,0.000759629,1.258890418,0
138,-0.004068963,0.003187982,-0.004420713,4.054429999,1
50,0.001730217,-0.000835172,-0.002134088,3.273596226,1
133,-0.003494977,-0.003853935,0.003274602,1.991447193,1
120,0.006340435,-0.005490602,-0.002156094,3.554323417,1
93,0.011738614,0.051188021,-0.01587219,1.334908776,0
48,-0.003630527,0.003165212,-0.004273784,2.520690687,1
125,0.026419734,0.049055211,-0.010213362,1.086317285,0
142,-0.000630355,0.001287676,-0.005124859,2.434263349,1
46,0.001341064,-0.002620676,-0.004642614,4.701349851,1
55,0.004712942,-0.00084029,-0.002391134,3.593186503,1
94,0.022938416,0.025665197,-0.008624272,1.032297076,0
137,0.003817901,0.012367596,0.004142507,3.165265293,1
49,0.00328937,0.001266059,0.001379293,2.243406215,1
53,0.00431933,0.001193387,0.001128727,3.51718592,1
87,0.048563073,0.034855089,-0.00583058,1.130457572,0
148,-0.004840023,0.003475861,-0.003251333,2.708362067,1
92,0.009188134,0.025858823,-0.007556706,1.305425279,0
88,0.018114363,0.036766598,-0.008076649,1.250521147,0
139,0.00393558,-0.006504284,-0.004824535,1.760818433,1
60,-0.007262453,0.001075936,0.008178,3.423617279,1
94,-0.001560945,0.047502811,-0.007962333,1.38391959,0
95,0.010265922,0.042669842,-0.006496917,0.937325069,0
93,0.021062659,0.015779849,-0.005748655,1.11019126,0
124,-0.003779416,0.000447178,-0.001109885,2.337478864,1
54,-0.002814115,-0.000574376,-0.005660235,3.419106504,1
42,-0.005725337,-0.000246987,0.001412291,3.615916158,1
159,0.00058858,0.011478034,-0.005311046,3.229278528,1
100,0.014055532,0.005103806,-0.021697906,1.413618397,0
112,0.036566338,0.062149482,-0.009822357,1.260175528,0
